"customer_id","tx_datetime","tx_amount","terminal_id","tx_type"
28,2018-04-01 04:31:00.000 +0500,84.2300033569336,17,0
296,2018-04-01 17:23:31.000 +0500,120.64999389648438,15,3
188,2018-04-01 05:39:28.000 +0500,53.290000915527344,16,0
188,2018-04-01 06:57:01.000 +0500,29.950000762939453,16,0
188,2018-04-01 07:24:08.000 +0500,10.3100004196167,16,0
129,2018-04-01 08:29:06.000 +0500,50.790000915527344,3,0
337,2018-04-01 08:38:26.000 +0500,34.619998931884766,5,0
187,2018-04-01 10:21:09.000 +0500,55.5,16,0
466,2018-04-01 10:29:48.000 +0500,33.22999954223633,3,0
129,2018-04-01 10:31:57.000 +0500,28.299999237060547,3,0
235,2018-04-01 10:56:16.000 +0500,15.289999961853027,9,0
15,2018-04-01 11:08:01.000 +0500,50.45000076293945,2,0
466,2018-04-01 11:18:20.000 +0500,29.18000030517578,3,0
79,2018-04-01 20:00:11.000 +0500,128.94000244140625,8,2
367,2018-04-02 08:21:40.000 +0500,5.820000171661377,18,0
129,2018-04-01 12:05:19.000 +0500,85.25,3,0
466,2018-04-01 12:40:33.000 +0500,42.099998474121094,3,0
466,2018-04-01 13:13:16.000 +0500,54.810001373291016,3,0
188,2018-04-01 14:52:27.000 +0500,26.200000762939453,16,0
142,2018-04-01 17:35:16.000 +0500,114.18000030517578,10,0
235,2018-04-01 17:57:08.000 +0500,13.829999923706055,9,0
188,2018-04-01 19:19:12.000 +0500,43.869998931884766,16,0
144,2018-04-01 19:36:45.000 +0500,43.08000183105469,14,0
498,2018-04-01 21:41:29.000 +0500,64.12000274658203,7,0
367,2018-04-01 10:54:21.000 +0500,2.3399999141693115,18,3
367,2018-04-02 02:37:44.000 +0500,5.079999923706055,18,1
367,2018-04-03 02:50:27.000 +0500,1.2999999523162842,18,1
291,2018-04-02 03:57:20.000 +0500,99.5,13,0
129,2018-04-02 05:10:15.000 +0500,61.77000045776367,3,2
291,2018-04-02 06:31:17.000 +0500,49.43000030517578,13,0
498,2018-04-02 09:53:51.000 +0500,42.15999984741211,7,0
129,2018-04-02 09:55:11.000 +0500,33.4900016784668,3,2
79,2018-05-01 20:00:11.000 +0500,128.94000244140625,8,2
79,2018-06-01 20:00:11.000 +0500,128.94000244140625,8,2
129,2018-04-02 10:24:25.000 +0500,51.04999923706055,3,2
79,2018-07-01 20:00:11.000 +0500,128.94000244140625,8,2
235,2018-04-02 11:45:49.000 +0500,7.019999980926514,9,0
188,2018-04-02 15:30:13.000 +0500,37.459999084472656,16,2
498,2018-04-02 17:20:56.000 +0500,50.52000045776367,7,0
466,2018-04-02 18:12:58.000 +0500,22.110000610351562,3,2
144,2018-04-02 18:47:58.000 +0500,93.48999786376953,14,0
